"","IXIC.Adjusted"
"822",2436.81005859375
"823",2454.05004882812
"824",2457.8701171875
"825",2465.98999023438
"826",2504.86010742188
"827",2515.68994140625
"828",2481.26000976562
"829",2480.11010742188
"830",2500.31005859375
"831",2504.61010742188
"832",2519.07006835938
"833",2530.14990234375
"834",2522.94995117188
"835",2471.46997070312
"836",2471.72998046875
"837",2511.919921875
"838",2461.18994140625
"839",2498.73999023438
"840",2424.25
"841",2402.2900390625
"842",2319.63989257812
"843",2265.63989257812
"844",2374.669921875
"845",2375.31005859375
"846",2425.02001953125
"847",2394.36010742188
"848",2346.85009765625
"849",2354.22998046875
"850",2317.26000976562
"851",2298.3701171875
"852",2204.01000976562
"853",2229.0400390625
"854",2213.55004882812
"855",2210.94995117188
"856",2195.8798828125
"857",2277.67993164062
"858",2257.0400390625
"859",2222.330078125
"860",2281.07006835938
"861",2303.03002929688
"862",2219.169921875
"863",2173.89990234375
"864",2170.57006835938
"865",2158.85009765625
"866",2218.7099609375
"867",2243.60009765625
"868",2243.9599609375
"869",2305.8798828125
"870",2305.92993164062
"871",2307.15991210938
"872",2309.80004882812
"873",2289.09008789062
"874",2261.80004882812
"875",2254.22998046875
"876",2217.419921875
"877",2223.47998046875
"878",2220.64990234375
"879",2135.17993164062
"880",2109.23999023438
"881",2101.36010742188
"882",2091.7900390625
"883",2093.8798828125
"884",2159.46997070312
"885",2175.39990234375
"886",2196.44995117188
"887",2198.36010742188
"888",2242.03002929688
"889",2249.84008789062
"890",2249.080078125
"891",2179.05004882812
"892",2198.22998046875
"893",2222.48999023438
"894",2187.330078125
"895",2245.88989257812
"896",2269.46997070312
"897",2296.42993164062
"898",2288.25
"899",2264.56005859375
"900",2251.68994140625
"901",2254.69995117188
"902",2295.36010742188
"903",2283.52001953125
"904",2303.57006835938
"905",2293.06005859375
"906",2288.46997070312
"907",2305.68994140625
"908",2277.169921875
"909",2208.6298828125
"910",2190.27001953125
"911",2173.47998046875
"912",2181.8701171875
"913",2209.43994140625
"914",2215.69995117188
"915",2178.94995117188
"916",2179.76000976562
"917",2159.6298828125
"918",2123.76000976562
"919",2141.5400390625
"920",2118.68994140625
"921",2153.6298828125
"922",2119.96997070312
"923",2114.03002929688
"924",2176.84008789062
"925",2200.01000976562
"926",2233.75
"927",2208.88989257812
"928",2228.8701171875
"929",2236.19995117188
"930",2242.47998046875
"931",2285.7099609375
"932",2289.77001953125
"933",2301.32006835938
"934",2303.25
"935",2315.61010742188
"936",2355.830078125
"937",2349.35009765625
"938",2334.55004882812
"939",2327.080078125
"940",2381.21997070312
"941",2369.77001953125
"942",2379.59008789062
"943",2376.56005859375
"944",2368.6201171875
"945",2370.75
"946",2344.52001953125
"947",2399.830078125
"948",2380.65991210938
"949",2383.669921875
"950",2401.90991210938
"951",2402.330078125
"952",2417.919921875
"953",2441.22998046875
"954",2435.3798828125
"955",2468.77001953125
"956",2480.65991210938
"957",2436.94995117188
"958",2457.38989257812
"959",2459.669921875
"960",2479.38989257812
"961",2490.85009765625
"962",2497.2900390625
"963",2503.26000976562
"964",2507.3701171875
"965",2507.40991210938
"966",2504.84008789062
"967",2533.52001953125
"968",2540.27001953125
"969",2577.34008789062
"970",2578.97998046875
"971",2580.05004882812
"972",2562.97998046875
"973",2578.78002929688
"974",2555.52001953125
"975",2518.2099609375
"976",2513.82006835938
"977",2469.84008789062
"978",2476.01000976562
"979",2514.39990234375
"980",2518.1201171875
"981",2532.02001953125
"982",2494.94995117188
"983",2543.1201171875
"984",2534.56005859375
"985",2525.21997070312
"986",2498.22998046875
"987",2549.42993164062
"988",2579.35009765625
"989",2591.4599609375
"990",2594.919921875
"991",2598.48999023438
"992",2609.15991210938
"993",2616.669921875
"994",2637.5400390625
"995",2624.90991210938
"996",2627.71997070312
"997",2617.21997070312
"998",2637.31005859375
"999",2642.96997070312
"1000",2649.56005859375
"1001",2667.61010742188
"1002",2671.47998046875
"1003",2665.60009765625
"1004",2667.27001953125
"1005",2662.8798828125
"1006",2666.92993164062
"1007",2662.97998046875
