"","GC=F.Adjusted"
"1047",1415.30004882812
"1048",1408.69995117188
"1049",1409.30004882812
"1050",1430.69995117188
"1051",1437.19995117188
"1052",1416
"1053",1428.19995117188
"1054",1434.09997558594
"1055",1426.90002441406
"1056",1429.30004882812
"1057",1412.19995117188
"1058",1421.5
"1059",1424.59997558594
"1060",1392.59997558594
"1061",1396
"1062",1404
"1063",1415.90002441406
"1064",1426.19995117188
"1065",1427.5
"1066",1437.90002441406
"1067",1434.80004882812
"1068",1426.09997558594
"1069",1419.80004882812
"1070",1416
"1071",1423.80004882812
"1072",1438.90002441406
"1073",1428.09997558594
"1074",1432.19995117188
"1075",1451.80004882812
"1076",1457.69995117188
"1077",1458.5
"1078",1473.40002441406
"1079",1467.40002441406
"1080",1452.90002441406
"1081",1454.90002441406
"1082",1471.69995117188
"1083",1485.30004882812
"1084",1492.30004882812
"1085",1494.5
"1086",1498.30004882812
"1087",1503.19995117188
"1088",1508.59997558594
"1089",1503
"1090",1516.69995117188
"1091",1530.80004882812
"1092",1556
"1093",1556.69995117188
"1094",1540.09997558594
"1095",1514.90002441406
"1096",1480.90002441406
"1097",1491.19995117188
"1098",1502.90002441406
"1099",1516.59997558594
"1100",1501.09997558594
"1101",1506.59997558594
"1102",1493.40002441406
"1103",1490.40002441406
"1104",1479.80004882812
"1105",1495.59997558594
"1106",1492.19995117188
"1107",1508.80004882812
"1108",1515.30004882812
"1109",1523.19995117188
"1110",1526.59997558594
"1111",1522.80004882812
"1112",1536.30004882812
"1113",1535.90002441406
"1114",1542.40002441406
"1115",1532
"1116",1541.69995117188
"1117",1546.5
"1118",1543.30004882812
"1119",1538.09997558594
"1120",1542.09997558594
"1121",1528.59997558594
"1122",1515
"1123",1523.80004882812
"1124",1525.59997558594
"1125",1529.30004882812
"1126",1538.59997558594
"1127",1541.5
"1128",1546
"1129",1552.90002441406
"1130",1520.09997558594
"1131",1500.5
"1132",1496
"1133",1499.69995117188
"1134",1509.90002441406
"1135",1502.30004882812
"1136",1482.30004882812
"1137",1512.30004882812
"1138",1528.69995117188
"1139",1530.19995117188
"1140",1541.19995117188
"1141",1548.80004882812
"1142",1561.90002441406
"1143",1585.19995117188
"1144",1589
"1145",1589.80004882812
"1146",1602.09997558594
"1147",1600.90002441406
"1148",1596.69995117188
"1149",1586.80004882812
"1150",1601.30004882812
"1151",1612
"1152",1616.59997558594
"1153",1615
"1154",1613.40002441406
"1155",1628.30004882812
"1156",1619
"1157",1641.90002441406
"1158",1663.40002441406
"1159",1656.19995117188
"1160",1648.80004882812
"1161",1710.19995117188
"1162",1740
"1163",1781.30004882812
"1164",1748.80004882812
"1165",1740.19995117188
"1166",1755.5
"1167",1782.40002441406
"1168",1791.19995117188
"1169",1818.90002441406
"1170",1848.90002441406
"1171",1888.69995117188
"1172",1858.30004882812
"1173",1754.09997558594
"1174",1759.80004882812
"1175",1794.09997558594
"1176",1788.40002441406
"1177",1826.69995117188
"1178",1828.5
"1179",1826
"1180",1873.69995117188
"1181",1869.90002441406
"1182",1814.19995117188
"1183",1854.40002441406
"1184",1856.40002441406
"1185",1809.90002441406
"1186",1826.80004882812
"1187",1823.5
"1188",1778.5
"1189",1812.09997558594
"1190",1776.40002441406
"1191",1806.59997558594
"1192",1805.5
"1193",1739.19995117188
"1194",1637.5
"1195",1592.5
"1196",1650.59997558594
"1197",1616.30004882812
"1198",1615.5
"1199",1620.40002441406
"1200",1656
"1201",1614.69995117188
"1202",1640.30004882812
"1203",1651.90002441406
"1204",1634.5
"1205",1669.59997558594
"1206",1659.69995117188
"1207",1681.30004882812
"1208",1667.30004882812
"1209",1681.80004882812
"1210",1675.5
"1211",1651.69995117188
"1212",1646
"1213",1611.90002441406
"1214",1635.09997558594
"1215",1651.5
"1216",1699.59997558594
"1217",1722.69995117188
"1218",1746.69995117188
"1219",1746.19995117188
"1220",1724.19995117188
"1221",1711
"1222",1728.69995117188
"1223",1764.19995117188
"1224",1755.30004882812
"1225",1790.30004882812
"1226",1798.40002441406
"1227",1790.90002441406
"1228",1758.90002441406
"1229",1787.5
"1230",1777.80004882812
"1231",1781.69995117188
"1232",1773.80004882812
"1233",1719.80004882812
"1234",1724.69995117188
"1235",1678.30004882812
"1236",1702.19995117188
"1237",1695.69995117188
"1238",1685.5
"1239",1710.80004882812
"1240",1713.40002441406
"1241",1745.5
"1242",1735.30004882812
"1243",1747
"1244",1730.69995117188
"1245",1727.90002441406
"1246",1740.90002441406
"1247",1709.80004882812
"1248",1712.80004882812
"1249",1664.19995117188
"1250",1659.90002441406
"1251",1584.30004882812
"1252",1574.59997558594
"1253",1595.59997558594
"1254",1594.40002441406
"1255",1615.59997558594
"1256",1611.90002441406
"1257",1608.90002441406
"1258",1604.69995117188
"1259",1594.19995117188
"1260",1562.90002441406
"1261",1539.90002441406
"1262",1565.80004882812
"1263",1599.69995117188
"1264",1611.90002441406
"1265",1619.40002441406
"1266",1616.09997558594
"1267",1607.5
"1268",1631
"1269",1639.19995117188
"1270",1647.30004882812
"1271",1630.40002441406
"1272",1655.19995117188
"1273",1659.5
"1274",1654.09997558594
"1275",1663.69995117188
"1276",1678
"1277",1664.19995117188
"1278",1699.80004882812
"1279",1726.30004882812
"1280",1731.80004882812
"1281",1731
"1282",1737.80004882812
"1283",1747.09997558594
"1284",1756.80004882812
"1285",1737.90002441406
"1286",1722.80004882812
"1287",1746.40002441406
"1288",1729.30004882812
"1289",1739
"1290",1723.30004882812
"1291",1723
"1292",1715.90002441406
"1293",1726.30004882812
"1294",1726.80004882812
"1295",1724.5
"1296",1757.09997558594
"1297",1770
"1298",1784.90002441406
"1299",1775.09997558594
"1300",1773.59997558594
"1301",1787
"1302",1709.90002441406
"1303",1721.09997558594
"1304",1708.80004882812
"1305",1703
"1306",1671.40002441406
"1307",1683.30004882812
"1308",1698.09997558594
"1309",1710.90002441406
"1310",1699.19995117188
"1311",1693.69995117188
"1312",1642.5
"1313",1659.09997558594
"1314",1655.5
"1315",1666.90002441406
"1316",1646.69995117188
"1317",1650
"1318",1642.30004882812
"1319",1662.30004882812
"1320",1685.5
"1321",1684.80004882812
"1322",1657.90002441406
"1323",1652.19995117188
"1324",1669.30004882812
"1325",1677.5
"1326",1670
"1327",1612.30004882812
"1328",1628.5
"1329",1642.5
"1330",1659.5
"1331",1659
"1332",1679.5
"1333",1659.09997558594
"1334",1648.69995117188
"1335",1650.30004882812
"1336",1638.80004882812
"1337",1640.59997558594
"1338",1642.09997558594
"1339",1631.90002441406
"1340",1643
"1341",1641.40002441406
"1342",1659.59997558594
"1343",1664
"1344",1663.40002441406
"1345",1661.69995117188
"1346",1653.40002441406
"1347",1634.19995117188
"1348",1644.69995117188
"1349",1638.59997558594
"1350",1604
"1351",1593.69995117188
"1352",1595.09997558594
"1353",1583.59997558594
"1354",1560.59997558594
"1355",1556.80004882812
"1356",1536.19995117188
"1357",1574.5
"1358",1591.59997558594
"1359",1588.40002441406
"1360",1576.30004882812
"1361",1548.09997558594
"1362",1557.30004882812
"1363",1568.80004882812
"1364",1548.59997558594
"1365",1563.40002441406
"1366",1562.59997558594
"1367",1620.5
"1368",1612.19995117188
"1369",1615.19995117188
"1370",1632.80004882812
"1371",1586.59997558594
"1372",1590.09997558594
"1373",1595.5
"1374",1612.69995117188
"1375",1618.09997558594
"1376",1618.40002441406
"1377",1627
"1378",1625.69995117188
"1379",1622.19995117188
"1380",1614.80004882812
"1381",1564.5
"1382",1566
"1383",1587.5
"1384",1574
"1385",1577.5
"1386",1549.69995117188
"1387",1603.5
"1388",1597.19995117188
"1389",1621.30004882812
"1390",1608.90002441406
"1391",1578.40002441406
"1392",1588.59997558594
"1393",1579.30004882812
"1394",1575.19995117188
"1395",1564.90002441406
"1396",1591.59997558594
"1397",1591.19995117188
"1398",1589.09997558594
"1399",1570.40002441406
"1400",1580.09997558594
