"","GSPC.Adjusted"
"518",827.5
"519",831.950012207031
"520",836.570007324219
"521",845.710021972656
"522",874.090026855469
"523",845.140014648438
"524",825.880004882812
"525",825.440002441406
"526",838.510009765625
"527",832.22998046875
"528",845.849975585938
"529",868.599975585938
"530",869.890014648438
"531",827.159973144531
"532",833.739990234375
"533",835.190002441406
"534",826.840026855469
"535",789.169982910156
"536",788.419982910156
"537",778.940002441406
"538",770.049987792969
"539",743.330017089844
"540",773.140014648438
"541",764.900024414062
"542",752.830017089844
"543",735.090026855469
"544",700.820007324219
"545",696.330017089844
"546",712.869995117188
"547",682.549987792969
"548",683.380004882812
"549",676.530029296875
"550",719.599975585938
"551",721.359985351562
"552",750.739990234375
"553",756.549987792969
"554",753.890014648438
"555",778.119995117188
"556",794.349975585938
"557",784.039978027344
"558",768.539978027344
"559",822.919982910156
"560",806.119995117188
"561",813.880004882812
"562",832.859985351562
"563",815.940002441406
"564",787.530029296875
"565",797.869995117188
"566",811.080017089844
"567",834.380004882812
"568",842.5
"569",835.47998046875
"570",815.549987792969
"571",825.159973144531
"572",856.559997558594
"573",858.72998046875
"574",841.5
"575",852.059997558594
"576",865.299987792969
"577",869.599975585938
"578",832.390014648438
"579",850.080017089844
"580",843.549987792969
"581",851.919982910156
"582",866.22998046875
"583",857.510009765625
"584",855.159973144531
"585",873.640014648438
"586",872.809997558594
"587",877.52001953125
"588",907.239990234375
"589",903.799987792969
"590",919.530029296875
"591",907.390014648438
"592",929.22998046875
"593",909.239990234375
"594",908.349975585938
"595",883.919982910156
"596",893.070007324219
"597",882.880004882812
"598",909.710021972656
"599",908.130004882812
"600",903.469970703125
"601",888.330017089844
"602",887
"603",910.330017089844
"604",893.059997558594
"605",906.830017089844
"606",919.140014648438
"607",942.869995117188
"608",944.739990234375
"609",931.760009765625
"610",942.460021972656
"611",940.090026855469
"612",939.140014648438
"613",942.429992675781
"614",939.150024414062
"615",944.890014648438
"616",946.210021972656
"617",923.719970703125
"618",911.969970703125
"619",910.710021972656
"620",918.369995117188
"621",921.22998046875
"622",893.039978027344
"623",895.099975585938
"624",900.940002441406
"625",920.260009765625
"626",918.900024414062
"627",927.22998046875
"628",919.320007324219
"629",923.330017089844
"630",896.419982910156
"631",898.719970703125
"632",881.030029296875
"633",879.559997558594
"634",882.679992675781
"635",879.130004882812
"636",901.049987792969
"637",905.840026855469
"638",932.679992675781
"639",940.739990234375
"640",940.380004882812
"641",951.130004882812
"642",954.580017089844
"643",954.070007324219
"644",976.289978027344
"645",979.260009765625
"646",982.179992675781
"647",979.619995117188
"648",975.150024414062
"649",986.75
"650",987.47998046875
"651",1002.63000488281
"652",1005.65002441406
"653",1002.71997070312
"654",997.080017089844
"655",1010.47998046875
"656",1007.09997558594
"657",994.349975585938
"658",1005.80999755859
"659",1012.72998046875
"660",1004.09002685547
"661",979.72998046875
"662",989.669982910156
"663",996.460021972656
"664",1007.36999511719
"665",1026.13000488281
"666",1025.56994628906
"667",1028
"668",1028.11999511719
"669",1030.97998046875
"670",1028.93005371094
"671",1020.61999511719
"672",998.039978027344
"673",994.75
"674",1003.23999023438
"675",1016.40002441406
