"","CL=F.Adjusted"
"306",109.419998168945
"307",104.480003356934
"308",101.839996337891
"309",100.860000610352
"310",101.220001220703
"311",105.900001525879
"312",107.580001831055
"313",105.620002746582
"314",101.580001831055
"315",100.980003356934
"316",104.830001831055
"317",103.830001831055
"318",106.230003356934
"319",109.089996337891
"320",108.5
"321",110.870002746582
"322",110.110000610352
"323",110.139999389648
"324",111.76000213623
"325",113.790000915527
"326",114.930000305176
"327",114.860000610352
"328",116.690002441406
"329",117.480003356934
"330",119.370002746582
"331",118.300003051758
"332",116.059997558594
"333",118.519996643066
"334",118.75
"335",115.629997253418
"336",113.459999084473
"337",112.519996643066
"338",116.319999694824
"339",119.970001220703
"340",121.839996337891
"341",123.529998779297
"342",123.690002441406
"343",125.959999084473
"344",124.230003356934
"345",125.800003051758
"346",124.220001220703
"347",124.120002746582
"348",126.290000915527
"349",127.050003051758
"350",129.070007324219
"351",133.169998168945
"352",130.809997558594
"353",132.190002441406
"354",128.850006103516
"355",131.029998779297
"356",126.620002746582
"357",127.349998474121
"358",127.76000213623
"359",124.309997558594
"360",122.300003051758
"361",127.790000915527
"362",138.539993286133
"363",134.350006103516
"364",131.309997558594
"365",136.380004882812
"366",136.740005493164
"367",134.860000610352
"368",134.610000610352
"369",134.009994506836
"370",136.679992675781
"371",131.929992675781
"372",134.619995117188
"373",136.740005493164
"374",137
"375",134.550003051758
"376",139.639999389648
"377",140.210006713867
"378",140
"379",140.970001220703
"380",143.570007324219
"381",145.289993286133
"382",141.369995117188
"383",136.039993286133
"384",136.050003051758
"385",141.649993896484
"386",145.080001831055
"387",145.179992675781
"388",138.740005493164
"389",134.600006103516
"390",129.289993286133
"391",128.880004882812
"392",131.039993286133
"393",127.949996948242
"394",124.440002441406
"395",125.48999786377
"396",123.26000213623
"397",124.730003356934
"398",122.190002441406
"399",126.769996643066
"400",124.080001831055
"401",125.099998474121
"402",121.410003662109
"403",119.169998168945
"404",118.580001831055
"405",120.019996643066
"406",115.199996948242
"407",114.449996948242
"408",113.01000213623
"409",116
"410",115.01000213623
"411",113.769996643066
"412",112.870002746582
"413",114.529998779297
"414",114.980003356934
"415",121.180000305176
"416",114.589996337891
"417",115.110000610352
"418",116.269996643066
"419",118.150001525879
"420",115.589996337891
"421",115.459999084473
"422",109.709999084473
"423",109.349998474121
"424",107.889999389648
"425",106.230003356934
"426",106.339996337891
"427",103.26000213623
"428",102.580001831055
"429",100.870002746582
"430",101.180000305176
"431",95.7099990844727
"432",91.1500015258789
"433",97.1600036621094
"434",97.879997253418
"435",104.550003051758
"436",120.919998168945
"437",106.610000610352
"438",105.730003356934
