"","BTC-USD.Adjusted"
"365",229.091003417969
"366",229.809997558594
"367",232.975006103516
"368",231.49299621582
"369",231.212005615234
"370",227.085006713867
"371",230.61799621582
"372",230.283004760742
"373",234.529006958008
"374",235.143997192383
"375",234.339996337891
"376",232.75700378418
"377",239.141998291016
"378",236.686996459961
"379",236.059997558594
"380",237.54899597168
"381",237.292999267578
"382",238.729995727539
"383",238.259002685547
"384",240.382995605469
"385",246.063003540039
"386",242.968994140625
"387",242.304000854492
"388",243.930999755859
"389",244.940994262695
"390",247.050003051758
"391",245.307998657227
"392",249.507995605469
"393",251.988998413086
"394",254.320007324219
"395",262.868988037109
"396",270.640014648438
"397",261.643005371094
"398",263.43701171875
"399",269.463012695312
"400",266.272003173828
"401",274.023010253906
"402",276.496002197266
"403",281.653991699219
"404",283.679992675781
"405",285.299987792969
"406",293.787994384766
"407",304.618011474609
"408",313.855010986328
"409",328.015014648438
"410",314.165985107422
"411",325.430999755859
"412",361.188995361328
"413",403.4169921875
"414",411.56298828125
"415",386.35400390625
"416",374.470001220703
"417",386.481994628906
"418",373.368011474609
"419",380.256988525391
"420",336.819000244141
"421",311.084014892578
"422",338.152008056641
"423",336.752990722656
"424",332.906005859375
"425",320.165985107422
"426",330.751007080078
"427",335.093994140625
"428",334.589996337891
"429",326.148986816406
"430",322.022003173828
"431",326.927001953125
"432",324.536010742188
"433",323.045989990234
"434",320.045989990234
"435",328.205993652344
"436",352.683990478516
"437",358.0419921875
"438",357.381011962891
"439",371.294006347656
"440",377.321014404297
"441",362.488006591797
"442",359.18701171875
"443",361.045989990234
"444",363.183013916016
"445",388.949005126953
"446",388.782989501953
"447",395.536010742188
"448",415.56298828125
"449",417.56298828125
"450",415.47900390625
"451",451.93798828125
"452",434.997009277344
"453",433.755004882812
"454",444.182006835938
"455",465.321014404297
"456",454.933990478516
"457",456.078002929688
"458",463.615997314453
"459",462.321990966797
"460",442.684997558594
"461",438.639007568359
"462",436.571990966797
"463",442.401000976562
"464",454.984985351562
"465",455.653015136719
"466",417.273986816406
"467",422.822998046875
"468",422.278991699219
"469",432.983001708984
"470",426.619995117188
"471",430.566986083984
"472",434.334014892578
"473",433.43798828125
"474",430.010986328125
"475",433.091003417969
"476",431.959991455078
"477",429.105010986328
"478",458.048004150391
"479",453.230010986328
"480",447.610992431641
"481",447.990997314453
"482",448.428009033203
"483",435.690002441406
"484",432.371002197266
"485",430.305999755859
"486",364.330993652344
"487",387.536010742188
"488",382.299011230469
"489",387.167999267578
"490",380.148986816406
"491",420.230010986328
"492",410.261993408203
"493",382.492004394531
"494",387.490997314453
"495",402.971008300781
"496",391.726013183594
"497",392.153015136719
"498",394.971984863281
"499",380.289001464844
"500",379.473999023438
"501",378.255004882812
"502",368.766998291016
"503",373.055999755859
"504",374.447998046875
"505",369.949005126953
"506",389.593994140625
"507",386.549011230469
"508",376.522003173828
"509",376.619995117188
"510",373.446990966797
"511",376.028991699219
"512",381.648986816406
"513",379.653991699219
"514",384.263000488281
"515",391.859985351562
"516",407.230010986328
"517",400.184997558594
"518",407.488006591797
"519",416.321990966797
"520",422.372985839844
"521",420.785003662109
"522",437.164001464844
"523",438.798004150391
"524",437.747985839844
"525",420.735992431641
"526",424.954986572266
"527",424.544006347656
"528",432.152008056641
"529",432.519012451172
"530",433.503997802734
"531",437.696990966797
"532",435.122985839844
"533",423.989013671875
"534",421.651000976562
"535",410.938995361328
"536",400.570007324219
"537",407.707000732422
"538",414.321014404297
"539",413.971984863281
"540",414.859985351562
"541",417.131011962891
"542",421.690002441406
"543",411.623992919922
"544",414.065002441406
"545",416.43798828125
"546",416.829986572266
"547",417.010986328125
"548",420.621002197266
"549",409.548004150391
"550",410.444000244141
"551",413.755004882812
"552",413.307006835938
"553",418.088989257812
"554",418.040985107422
"555",416.394012451172
"556",417.177001953125
"557",417.945007324219
"558",426.765014648438
"559",424.230987548828
"560",416.515991210938
"561",414.816009521484
"562",416.72900390625
"563",417.959991455078
"564",420.872985839844
"565",420.903991699219
"566",421.444000244141
"567",424.029998779297
"568",423.412994384766
"569",422.744995117188
"570",420.348999023438
"571",419.411010742188
"572",421.563995361328
"573",422.483001708984
"574",425.190002441406
"575",423.734008789062
"576",424.282012939453
"577",429.713012695312
"578",430.571990966797
"579",427.398986816406
"580",428.591003417969
"581",435.509002685547
"582",441.389007568359
"583",449.424987792969
"584",445.736999511719
"585",450.282012939453
"586",458.554992675781
"587",461.425994873047
"588",466.088989257812
"589",444.68701171875
"590",449.010986328125
"591",455.096984863281
"592",448.317993164062
"593",451.875
"594",444.669006347656
"595",450.303985595703
"596",446.721984863281
"597",447.976013183594
"598",459.602996826172
"599",458.536010742188
"600",458.548004150391
"601",460.483001708984
"602",450.894989013672
"603",452.727996826172
